DATE,vwretd,ewretd
19270324,0.006783,0.007255
19270325,0.001774,0.003053
19270326,0.003387,0.002015
19270328,0.005257,0.005969
19270329,-0.002183,-0.004104
19270330,-0.005828,-0.004201
19270331,0.003174,0.001616
19270401,-0.000580,-0.002104
19270402,-0.000790,-0.000072
19270404,0.005330,0.005942
19270405,0.005980,0.003564
19270406,0.001145,0.002395
19270407,0.002557,-0.000079
19270408,0.003355,0.005314
19270409,0.000425,0.000782
19270411,0.002125,0.004744
19270412,-0.002730,0.000971
19270413,0.002052,0.001697
19270414,0.000940,0.004212
19270416,0.001998,0.004763
19270418,-0.000288,0.000709
19270419,0.001782,0.001273
19270420,0.002750,0.003773
19270421,0.003795,-0.000074
19270422,0.000968,-0.002665
19270423,-0.003511,-0.001237
19270425,-0.015518,-0.014357
19270426,0.006019,0.003715
19270427,-0.003781,-0.005659
19270428,-0.010868,-0.009995
19270429,0.004749,0.005515
19270430,-0.000044,0.001478
19270502,0.002764,0.005488
19270503,0.007517,0.009277
19270504,0.007727,0.007715
19270505,0.003081,0.003003
19270506,0.002889,0.002968
19270507,0.003021,0.002836
19270509,0.002016,0.003534
19270510,-0.000730,-0.002363
19270511,-0.001226,0.000645
19270512,-0.001008,-0.003398
19270513,0.005060,0.004085
19270514,0.000344,0.001093
19270516,-0.007020,-0.004814
19270517,0.004710,0.004089
19270518,0.005111,0.002508
19270519,0.001937,0.000425
19270520,0.004778,0.003375
19270521,0.002584,0.005704
19270523,0.001814,0.003228
19270524,-0.001359,0.000139
19270525,0.001708,0.003011
19270526,0.001479,0.001761
19270527,0.004528,0.009107
19270528,0.001483,0.000769
19270531,0.002618,0.000036
19270601,0.003390,0.002718
19270602,0.000789,0.001789
19270603,-0.008892,-0.009070
19270604,0.004619,0.004629
19270606,0.005056,0.005263
19270607,-0.002392,0.000497
19270608,0.002783,0.003173
19270609,0.000290,0.002455
19270610,-0.003907,-0.004353
19270611,-0.000962,-0.001314
19270614,-0.014971,-0.014408
19270615,0.009121,0.011094
19270616,0.006305,0.004317
19270617,0.001667,0.006612
19270618,-0.001167,0.001831
19270620,-0.001843,-0.003525
19270621,-0.003491,-0.000407
19270622,0.000197,0.001359
19270623,-0.008544,-0.010331
19270624,0.001450,0.001790
19270625,-0.000890,-0.000994
19270627,-0.012048,-0.015289
19270628,0.002633,0.000820
19270629,0.000252,0.000316
19270630,-0.000872,-0.001429
19270701,0.006773,0.007168
19270702,0.005604,0.006605
19270705,0.008452,0.006381
19270706,0.006174,0.009875
19270707,-0.002334,0.000697
19270708,-0.001611,-0.002975
19270709,0.001781,0.002211
19270711,0.004153,0.001748
19270712,0.003387,0.003632
19270713,0.002706,0.002753
19270714,0.004181,0.002136
19270715,0.002706,0.004071
19270716,0.001777,0.004558
19270718,0.001930,0.001008
19270719,0.002803,0.002500
19270720,0.004437,0.003661
19270721,-0.000374,0.001068
19270722,-0.000451,-0.001230
19270723,0.001920,0.002603
19270725,0.004246,0.004246
19270726,0.002567,-0.000393
19270727,0.000732,-0.002525
19270728,0.001451,-0.000413
19270729,0.004675,0.004001
19270730,0.004995,0.003223
19270801,0.005832,0.006569
19270802,0.006354,0.003800
19270803,-0.006511,-0.003096
19270804,0.009309,0.007013
19270805,-0.006076,-0.003421
19270806,-0.001002,0.000110
19270808,-0.010609,-0.010517
19270809,0.009518,0.008316
19270810,0.002521,0.003157
19270811,-0.010070,-0.009712
19270812,-0.015497,-0.020752
19270813,0.009091,0.009257
19270815,0.012656,0.013090
19270816,0.006166,0.007085
19270817,0.003093,0.004891
19270818,0.000593,-0.000740
19270819,0.001641,0.000444
19270820,0.003587,0.004634
19270822,0.003547,0.002351
19270823,0.000691,0.000817
19270824,0.001939,0.003271
19270825,0.000303,-0.002144
19270826,0.002415,-0.001029
19270827,-0.001173,-0.000545
19270829,-0.000205,-0.001237
19270830,-0.000204,-0.002213
19270831,-0.004624,-0.005376
19270901,0.007955,0.006955
19270902,0.005820,0.005889
19270903,0.005100,0.006504
19270906,0.008978,0.008330
19270907,0.004492,0.005200
19270908,0.000212,0.002213
19270909,-0.006307,-0.006531
19270910,0.004373,0.005864
19270912,-0.003557,-0.004317
19270913,0.012912,0.008910
19270914,0.003099,0.001281
19270915,0.002530,-0.000120
19270916,0.000836,-0.000539
19270917,-0.002699,-0.002665
19270919,-0.003138,-0.005097
19270920,0.005728,0.008078
19270921,-0.001341,-0.002043
19270922,-0.011491,-0.009849
19270923,0.005208,0.005397
19270924,0.006505,0.002362
19270926,-0.009038,-0.004977
19270927,0.002349,-0.000558
19270928,-0.003538,-0.001931
19270929,0.002051,0.000681
19270930,0.012839,0.011554
19271001,0.005348,0.005099
19271003,0.002803,0.001631
19271004,-0.004227,-0.004270
19271005,-0.002696,-0.003137
19271006,0.002600,0.003004
19271007,-0.007241,-0.006505
19271008,-0.003173,-0.003573
19271010,-0.005204,-0.009282
19271011,0.000450,0.002520
19271013,0.006977,0.006812
19271014,0.000016,0.003217
19271015,0.000348,0.004013
19271017,-0.012522,-0.012518
19271018,0.003547,0.001828
19271019,-0.007988,-0.005127
19271020,-0.010110,-0.009800
19271021,-0.007439,-0.002138
19271022,-0.006934,-0.005516
19271024,0.003748,0.002666
19271025,0.016010,0.009782
19271026,0.000785,0.004348
19271027,-0.004043,-0.001406
19271028,-0.014447,-0.015248
19271029,-0.004914,-0.005279
19271031,0.007619,0.007050
19271101,0.000132,0.002500
19271102,0.009901,0.003497
19271103,0.011401,0.011340
19271104,-0.000183,0.000880
19271105,0.005889,0.005978
19271107,0.006966,0.009340
19271109,-0.008022,-0.005031
19271110,0.002595,0.002262
19271111,0.008684,0.005171
19271112,0.003351,0.003288
19271114,0.005142,0.007723
19271115,0.001068,0.003537
19271116,-0.000352,0.004472
19271117,0.001756,0.003020
19271118,0.006184,0.007370
19271119,0.002662,0.004963
19271121,-0.005111,-0.001149
19271122,0.003771,0.006572
19271123,0.003000,0.003686
19271125,0.002577,0.004364
19271126,0.000079,0.003099
19271128,-0.007541,-0.004927
19271129,0.006606,0.009598
19271130,0.005397,0.006051
19271201,-0.004711,-0.003540
19271202,0.003715,0.002914
19271203,0.003321,0.002047
19271205,-0.003894,-0.001800
19271206,-0.000394,0.000020
19271207,-0.005171,-0.006161
19271208,-0.008489,-0.007663
19271209,0.011549,0.011379
19271210,0.000679,0.004076
19271212,0.005986,0.009388
19271213,0.004177,0.003630
19271214,-0.003795,-0.004115
19271215,0.005272,0.007725
19271216,0.006715,0.004045
19271217,0.000633,0.002002
19271219,0.003211,0.001898
19271220,0.000162,-0.001331
19271221,-0.000570,0.002401
19271222,-0.000214,-0.001811
19271223,0.002071,0.000149
19271224,0.001484,0.001535
19271227,0.000148,0.001149
19271228,-0.005927,-0.007068
19271229,0.001660,-0.001148
19271230,0.004230,0.012146
19271231,0.003246,0.004756
19280103,0.004586,0.009713
19280104,-0.001229,0.001216
19280105,-0.007224,-0.005866
19280106,0.006768,0.009356
19280107,0.001120,0.002359
19280109,-0.008834,-0.006135
19280110,-0.008222,-0.011254
19280111,0.001332,0.006913
19280112,0.005278,0.007124
19280113,0.006313,0.006879
19280114,-0.006691,-0.004914
19280116,-0.008730,-0.009704
19280117,0.001870,0.006702
19280118,-0.003113,-0.005118
19280119,0.005912,0.005578
19280120,0.005865,0.007878
19280121,0.002138,0.003838
19280123,0.006384,0.007572
19280124,0.002982,0.005789
19280125,-0.010470,-0.012153
19280126,0.005409,0.007774
19280127,0.002766,0.001394
19280128,-0.004908,-0.002149
19280130,-0.004177,-0.006325
19280131,0.003349,0.008119
19280201,-0.002421,-0.001068
19280202,0.004489,0.005823
19280203,-0.011326,-0.012453
19280204,0.000569,-0.001871
19280206,0.002212,0.004863
19280207,-0.002863,-0.007334
19280208,0.000855,-0.003165
19280209,0.004652,0.004470
19280210,-0.000732,-0.002160
19280211,0.000079,0.002725
19280214,-0.003737,-0.000914
19280215,-0.002669,-0.003374
19280216,-0.003044,-0.004783
19280217,-0.016637,-0.021031
19280218,-0.004710,-0.008947
19280220,-0.001550,0.002008
19280221,0.010674,0.013284
19280223,0.002263,0.003201
19280224,0.003456,0.002236
19280225,0.001427,0.003409
19280227,-0.004749,-0.004075
19280228,0.003797,0.004636
19280229,0.005795,0.006621
19280301,0.002654,0.003150
19280302,0.000894,-0.000312
19280303,0.004935,0.003747
19280305,0.006794,0.004315
19280306,0.004082,0.004165
19280307,-0.004275,-0.003713
19280308,0.004230,0.003739
19280309,0.012293,0.008346
19280310,-0.002402,-0.004764
19280312,0.004517,0.002116
19280313,-0.003056,-0.001862
19280314,0.001169,0.002222
19280315,0.007532,0.007190
19280316,0.009515,0.005941
19280317,0.002098,0.002912
19280319,0.001118,0.005297
19280320,0.004117,0.004974
19280321,0.008854,0.008642
19280322,-0.003593,-0.006314
19280323,0.007389,0.002189
19280324,0.000738,-0.000576
19280326,0.009496,0.005958
19280327,-0.003342,0.000880
19280328,0.000303,0.004019
