DATE,vw,ew
19281103,0.01,-0.01
19281105,0.76,1.32
19281107,1.25,1.04
19281108,-0.22,-0.05
19281109,0.29,0.23
19281110,1.27,1.16
19281112,-0.62,-0.32
19281113,-0.4,-0.5
19281114,-0.02,-0.1
19281115,0.3,0.33
19281116,0.89,1.17
19281117,-0.1,-0.32
19281119,0.6,0.92
19281120,1.01,0.87
19281121,-1.29,-0.51
19281122,1.9,1.57
19281123,0.87,1.02
19281126,0.92,1.64
19281127,1.08,0.84
19281128,1.49,1.29
19281130,0.58,0.48
19281201,-0.21,-0.15
19281203,-0.95,-0.75
19281204,0.36,0.2
19281205,-0.25,-0.22
19281206,-4.04,-2.74
19281207,-2.84,-2.93
19281208,-3.22,-2.98
19281210,1.03,0.21
19281211,3.11,3.52
19281212,-0.07,0.07
19281213,0.15,0.3
19281214,-0.2,-0.17
19281215,-0.14,0.1
19281217,-1.15,-1.2
19281218,0.7,0.53
19281219,1.17,1.15
19281220,0.11,0.03
19281221,0.81,0.38
19281222,-0.1,-0.08
19281224,0.86,0.93
19281226,-0.26,-0.22
19281227,0.01,0.12
19281228,1.51,0.86
19281229,0.04,0.14
19281231,1.34,1.76
19290102,1.97,2.02
19290103,0.0,0.1
19290104,-0.34,0.0
19290105,-0.27,0.16
19290107,-1.26,-1.37
19290108,0.09,-0.06
19290109,1.49,1.65
19290110,0.48,0.45
19290111,0.22,0.43
19290112,-0.09,0.27
19290114,1.06,1.06
19290115,-1.12,-0.84
19290116,0.67,0.71
19290117,0.25,0.25
19290118,0.27,0.55
19290119,0.38,0.4
19290121,-0.17,0.07
19290122,0.14,0.18
19290123,-0.38,-0.73
19290124,-1.44,-0.97
19290125,0.26,0.51
19290126,-0.18,-0.28
19290128,-0.04,-0.14
19290129,-1.05,-0.64
19290130,-0.1,-0.18
19290131,0.96,0.97
19290201,0.41,0.74
19290202,0.28,0.28
19290204,1.0,0.91
19290205,0.74,0.43
19290206,-1.15,-0.26
19290207,-2.9,-2.54
19290208,-1.65,-1.66
19290211,1.9,1.65
19290213,0.49,0.59
19290214,-1.11,-0.74
19290215,-1.06,-1.51
19290216,-2.05,-1.96
19290218,0.79,0.4
19290219,1.5,1.64
19290220,1.15,1.08
19290221,0.31,0.62
19290225,0.66,0.23
19290226,0.27,0.17
19290227,0.77,0.86
19290228,0.4,0.8
19290301,1.41,1.18
19290302,-0.15,-0.2
19290304,-0.56,-0.66
19290305,-0.8,-0.23
19290306,-2.54,-2.36
19290307,0.44,0.4
19290308,0.59,0.37
19290309,0.17,0.22
19290311,-0.53,-0.54
19290312,-0.23,-0.44
19290313,0.92,0.66
19290314,1.44,1.17
19290315,0.57,0.9
19290316,0.56,0.57
19290318,-0.2,0.22
19290319,-0.22,-0.27
19290320,-0.41,-0.14
19290321,-0.57,-0.43
19290322,-1.02,-1.17
19290323,-1.28,-0.78
19290325,-4.21,-3.54
19290326,-3.7,-3.96
19290327,4.1,3.38
19290328,3.02,3.09
19290401,-2.42,-1.63
19290402,1.2,1.49
19290403,-0.47,-0.27
19290404,0.86,0.96
19290405,-0.24,-0.34
19290406,-0.07,0.56
19290408,-1.0,-0.36
19290409,-1.87,-1.9
19290410,0.24,0.32
19290411,0.85,1.01
19290412,1.13,1.08
19290413,0.14,0.43
19290415,-0.07,0.04
19290416,-0.31,-0.02
19290417,0.29,0.57
19290418,0.67,0.47
19290419,-0.1,0.02
19290420,-0.56,-0.79
19290422,0.53,0.47
19290423,0.3,0.2
19290424,-0.47,-0.52
19290425,-0.88,-0.97
19290426,-0.39,-0.19
19290427,0.95,0.91
19290429,-0.43,-0.57
19290430,1.75,1.13
19290501,0.73,0.43
19290502,0.32,0.59
19290503,-0.05,-0.05
19290504,-0.19,0.21
19290506,-0.75,-0.99
19290507,-1.03,-0.34
19290508,0.11,0.46
19290509,-0.61,-0.89
19290510,0.84,0.66
19290511,-0.04,0.01
19290513,-2.43,-1.76
19290514,0.02,-0.34
19290515,0.09,0.01
19290516,-0.55,-0.46
19290517,0.68,0.77
19290518,-0.62,-0.75
19290520,-1.44,-0.87
19290521,-2.09,-2.26
19290522,-3.05,-2.91
19290523,0.03,-0.14
19290524,0.7,0.76
19290525,-0.6,-0.63
19290527,-4.32,-3.85
19290528,-0.2,-0.97
19290529,-0.18,0.36
19290531,-0.99,-0.33
19290601,1.26,1.31
19290603,1.66,2.01
19290604,1.73,1.49
19290605,0.05,-0.07
19290606,0.23,0.09
19290607,-0.58,-0.25
19290608,-0.36,-0.39
19290610,-0.83,-0.76
19290611,0.44,0.17
19290612,0.51,0.72
19290613,0.84,0.56
19290614,0.72,0.73
19290615,0.44,0.24
19290617,0.33,0.46
19290618,0.05,0.25
19290619,-0.3,-0.19
19290620,-0.09,-0.15
19290621,0.27,0.06
19290622,0.71,1.07
19290624,-0.1,0.23
19290625,-0.44,-0.34
19290626,0.14,-0.12
19290627,-0.23,-0.21
19290628,-0.21,0.01
19290629,0.1,0.22
19290701,-0.25,-0.08
19290702,0.51,0.24
19290703,-0.12,-0.3
19290705,0.39,0.64
19290706,0.05,0.27
19290708,0.85,0.84
19290709,0.36,-0.03
19290710,-0.42,0.22
19290711,-0.14,-0.03
19290712,0.18,0.09
19290713,0.14,0.52
19290715,-0.48,-0.15
19290716,-0.02,-0.05
19290717,0.21,0.49
19290718,-0.28,-0.33
19290719,-0.27,-0.4
19290720,-0.09,-0.07
19290722,-0.58,-0.09
19290723,-0.1,0.06
19290724,-0.46,-0.67
19290725,-0.13,-0.36
19290726,-0.03,-0.16
19290727,-0.12,-0.01
19290729,-0.66,-0.86
19290730,1.01,0.86
19290731,0.42,0.38
19290801,0.06,0.35
19290802,-0.63,-0.88
19290803,-0.3,-0.01
19290805,-0.3,-0.11
19290806,-0.22,0.0
19290807,-0.67,-0.66
19290808,0.49,0.06
19290809,-2.99,-2.76
19290810,0.89,0.55
19290812,1.26,1.04
19290813,0.07,0.01
19290814,-0.6,0.03
19290815,0.51,0.68
19290816,1.26,1.17
19290817,0.48,0.3
19290819,0.2,0.01
19290820,0.01,0.19
19290821,-0.11,0.04
19290822,-0.02,0.21
19290823,-0.19,-0.11
19290824,-0.5,-0.41
19290826,-0.05,-0.16
19290827,0.18,0.51
19290828,-0.23,-0.22
19290829,0.85,0.66
19290830,0.14,0.27
19290903,-0.09,-0.33
19290904,-0.72,-0.93
19290905,-1.37,-0.61
19290906,0.75,0.4
19290907,0.37,0.23
19290909,-0.16,-0.12
19290910,-0.57,-0.04
19290911,-0.31,0.04
19290912,0.02,0.13
19290913,-0.17,-0.36
19290914,0.67,0.51
19290916,0.69,0.83
19290917,-0.15,-0.05
19290918,-0.3,-0.26
19290919,-0.2,-0.49
19290920,-0.25,-0.42
19290921,-0.68,-0.15
19290923,-0.47,-0.96
19290924,-0.59,-0.4
19290925,-0.91,-1.17
19290926,0.65,0.57
19290927,-2.03,-1.51
19290928,0.25,0.65
19290930,-0.03,-0.13
19291001,-1.03,-1.19
19291002,0.57,0.83
19291003,-2.44,-2.32
19291004,-2.81,-2.91
19291005,2.8,2.68
19291007,2.37,3.04
19291008,0.84,0.75
19291009,-0.79,-0.78
19291010,0.72,1.12
19291011,0.75,0.34
19291014,-0.79,-0.5
19291015,-0.4,0.18
19291016,-1.6,-1.34
19291017,-0.65,-0.8
19291018,-0.67,0.02
19291019,-2.48,-2.29
19291021,-2.79,-3.0
19291022,1.81,1.88
19291023,-4.54,-3.4
19291024,-6.45,-7.1
19291025,1.49,3.21
19291026,0.7,1.14
19291028,-7.41,-6.59
19291029,-12.38,-13.17
19291030,4.31,10.71
19291031,7.1,9.35
19291104,-1.63,0.93
19291106,-7.73,-6.76
19291107,-2.6,-3.01
19291108,2.71,3.64
19291111,-3.85,-3.64
19291112,-7.12,-7.54
19291113,-6.83,-7.14
19291114,3.69,5.49
19291115,6.6,7.88
19291118,1.46,1.44
19291119,1.01,2.31
19291120,2.38,2.69
19291121,0.77,1.39
19291122,0.89,1.16
19291125,-0.32,-0.64
19291126,-1.4,-1.53
19291127,-0.38,0.13
19291202,-0.76,-0.63
19291203,1.48,1.55
19291204,1.44,1.45
19291205,-0.06,0.17
19291206,0.99,0.47
19291207,0.32,0.82
19291209,0.02,0.67
19291210,-0.72,-0.61
19291211,-0.8,-0.57
19291212,-2.45,-2.25
19291213,-0.08,0.11
19291214,0.81,0.72
19291216,-0.73,-0.46
19291217,-0.09,-0.73
19291218,-0.8,-0.75
19291219,-2.52,-2.99
19291220,-3.7,-3.72
19291221,0.87,1.23
19291223,-1.8,-1.3
19291224,0.64,0.72
19291226,0.17,0.21
19291227,-0.34,-0.88
19291228,-0.99,-0.89
19291230,-1.54,-2.1
19291231,4.18,6.8
19300102,0.63,2.23
19300103,0.8,0.72
19300104,1.23,1.79
19300106,0.79,1.28
19300107,0.41,0.69
19300108,0.5,1.82
19300109,1.25,0.38
19300110,0.34,0.5
19300111,0.47,0.54
19300113,-0.22,0.16
19300114,0.08,0.7
19300115,-0.69,-0.82
19300116,0.36,0.7
19300117,-1.12,-0.4
19300118,0.16,-0.28
19300120,0.49,0.93
19300121,0.37,0.37
19300122,0.37,0.8
19300123,1.21,1.33
19300124,0.78,0.74
19300125,1.13,1.92
19300127,0.21,0.64
19300128,0.45,0.4
19300129,1.02,0.94
19300130,0.19,-0.15
19300131,1.29,1.84
19300201,0.25,0.53
19300203,-0.24,-0.04
19300204,0.23,0.11
19300205,0.7,0.9
19300206,-0.4,0.11
19300207,0.16,0.37
19300208,-0.1,0.3
19300210,0.23,-0.3
19300211,0.82,1.2
19300213,0.24,2.13
19300214,0.53,0.12
19300215,0.21,1.02
19300217,0.35,0.52
19300218,1.18,0.64
19300219,-0.41,0.95
19300220,-2.35,-2.58
19300221,0.85,1.36
19300224,-0.12,0.03
19300225,-0.41,1.09
19300226,0.69,0.5
19300227,-0.19,-0.3
19300228,0.19,1.09
19300301,0.68,0.83
19300303,0.06,-0.04
19300304,0.5,0.68
19300305,-0.52,-0.71
19300306,0.69,0.24
