caldt,vwretd,ewretd
19271104,-0.0006398420000000001,0.0006786024000000001
19271105,0.007066678000000001,0.007408305
19271107,0.007354693000000001,0.008340298000000001
19271109,-0.0104962,-0.007729985000000001
19271110,0.00347398,0.003352457
19271111,0.01117986,0.007912844
19271112,0.003697005,0.003215857
19271114,0.006295157,0.008399388
19271115,-0.0009163147,-0.0011323
19271116,-0.0009094139000000001,0.001279054
19271117,0.001746604,0.002854612
19271118,0.006586438,0.005634259
19271119,0.002529001,0.003299119
19271121,-0.007247827,-0.003971572
19271122,0.004338727000000001,0.003989009
19271123,0.003462758,0.007084079
19271125,0.003206633,0.004139871
19271126,0.000191835,0.002326136
19271128,-0.008606502,-0.006788325
19271129,0.006444953000000001,0.007490482000000001
19271130,0.007395540000000001,0.004555329
19271201,-0.005487706,-0.006437247
19271202,0.005190955000000001,0.004474517
19271203,0.003966273,0.002472939
19271205,-0.004066608,-0.001807041
19271206,-0.001655059,-0.002000493
19271207,-0.005157376,-0.005734886000000001
19271208,-0.01048938,-0.009980024
19271209,0.01085799,0.01021995
19271210,-0.0009472428,9.1138e-05
19271212,0.004490214,0.004578661
19271213,0.004339396000000001,0.003223753
19271214,-0.005549359,-0.002666536
19271215,0.005890683000000001,0.004831151000000001
19271216,0.007856365,0.004563026
19271217,-0.001197181,0.0009492985000000001
19271219,0.003161927,0.003493752
19271220,0.001287082,0.0004876623
19271221,-0.002255564,-0.002226174
19271222,0.0007704772000000001,-0.001475437
19271223,0.002794788,0.00163644
19271224,0.001729672,0.002046432
19271227,0.001452951,0.001439879
19271228,-0.006989029000000001,-0.005389773
19271229,0.00317841,0.001584453
19271230,0.002989705,0.008590693
19271231,0.003349297,0.004017933
19280103,0.002588934,0.006187532000000001
19280104,-0.001863336,-0.002009975
19280105,-0.008703115,-0.008344688000000001
19280106,0.006500208,0.008947950000000001
19280107,0.001111378,0.0006828548
19280109,-0.009861130000000001,-0.00963172
19280110,-0.007714790000000001,-0.008682957
19280111,-0.0003336113,0.001442292
19280112,0.006297065,0.005742877
19280113,0.006997203,0.009139507
19280114,-0.007410864000000001,-0.006581442000000001
19280116,-0.008495859,-0.009382628
19280117,0.001206651,0.003104185
19280118,-0.002776693,-0.002931942
19280119,0.006278300000000001,0.007226354000000001
19280120,0.005128292,0.006123490000000001
19280121,0.002567493,0.00171847
19280123,0.006487177,0.006310588000000001
19280124,0.003614647,0.003921857
19280125,-0.01075604,-0.008901807000000001
19280126,0.005810211,0.009509695
19280127,0.003124883,0.003885243
19280128,-0.006218860000000001,-0.004223556
19280130,-0.004340751,-0.006066581000000001
19280131,0.003957052,0.005120247000000001
19280201,-0.002537581,-0.002914139
19280202,0.005390709,0.005267918
19280203,-0.0118805,-0.01258815
19280204,0.001480952,0.000465092
19280206,0.0007622856,0.002142915
19280207,-0.001469921,-0.003913206000000001
19280208,0.002431268,-0.0004215937
19280209,0.00392267,0.00376161
19280210,-0.0001093421,-0.0008336825
19280211,0.0007115252,0.003051247
19280214,-0.005106776,-0.003048099
19280215,-0.001560038,-0.003348877
19280216,-0.00224495,-0.003156229
19280217,-0.01574027,-0.01825645
19280218,-0.002708544,-0.005441653
19280220,-0.002426105,-0.0009833886
19280221,0.009613547,0.01013187
19280223,0.001510286,0.0005170504
19280224,0.003723853,0.00400607
19280225,0.001134316,0.002323065
19280227,-0.005070375,-0.007109281
19280228,0.002730235,0.005013285
19280229,0.005276163,0.004735467
19280301,0.003080601,0.001927616
19280302,0.001215878,-0.001424581
19280303,0.006083939,0.001071875
19280305,0.007974294,0.007626108
19280306,0.004374785,0.002618671
19280307,-0.004705868,-0.005567044
19280308,0.003131905,0.004197783
19280309,0.01563247,0.008295794
19280310,-0.003012405,-0.001280928
19280312,0.006781408,0.007416617
19280313,-0.003741959,-0.003357426
19280314,0.001253321,0.002462061
19280315,0.007998268000000001,0.004915868
19280316,0.01278066,0.01092525
19280317,0.002768409,0.004755278
19280319,0.0009979977,0.003099711
19280320,0.005221838,0.001605093
19280321,0.008845298,0.002947806
19280322,-0.002086248,-0.004971874
19280323,0.008919665,0.001895039
19280324,0.001093128,-0.0003393455
19280326,0.01251628,0.006234657
19280327,-0.005399719000000001,0.002220217
19280328,-0.002239679,0.001551684
19280329,0.003075723,0.004196699
19280330,0.01650786,0.01568683
19280331,-0.007452564,-0.006300444000000001
19280402,-0.01067167,-0.00975893
19280403,0.006985896,0.006161101
19280404,-0.001044947,0.000476107
19280405,0.01189939,0.009051397000000001
19280409,0.001367712,0.003853081
19280410,-0.007983649,-0.008295109
19280411,0.01651056,0.0179737
19280412,-0.002479048,-0.004112753
19280413,0.01557494,0.01265469
19280414,-0.006404204,-0.004846068
19280416,0.003838756,0.001138959
19280417,-0.007481185,-0.001894603
19280418,-8.936822999999999e-05,0.002071493
19280419,0.005152056,0.006980826000000001
19280420,-0.01339477,-0.01416287
19280423,-0.008388943000000001,-0.006822282000000001
19280424,0.005282889000000001,0.003625044
19280425,0.006218325,0.007484525000000001
19280426,0.007783606,0.006223765
19280427,0.00954108,0.008705306000000001
19280428,0.002501001,0.001927271
19280430,0.0002243459,0.001399828
19280501,0.001613669,0.004591769
19280502,0.002359912,0.00571436
19280503,0.004453142,0.002068699
19280504,0.01334344,0.01029874
19280507,0.008183079000000001,0.006197614000000001
19280508,-0.005356108,-0.004287696000000001
19280509,-0.0001041373,-0.002185514
19280510,-0.001985804,0.001131532
19280511,0.006620323,0.007152281000000001
